{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.7883629210201311, 0.49382716], [0.7962734530603671, 0.49791956]), 'p_i': 63}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([8.059047747541356, 0.5], [8.059047804791454, 0.5]), 'p_i': 64}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.14443617507263257, 0.962963], [0.0031268431870653704, 0.9993065]), 'p_i': 65}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 66}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 120, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.1531328544203523, 0.9506173], [0.001575934544610677, 0.9993065]), 'p_i': 67}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.1, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 68}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 69}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.13478803634470637, 0.9444444], [0.002672642706737572, 0.9993065]), 'p_i': 70}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6221915005165853, 0.83950615], [0.1477429264130771, 0.9126214]), 'p_i': 71}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.2774040618060547, 0.962963], [0.001003851745389597, 0.9993065]), 'p_i': 72}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.12460637681198461, 0.95679015], [0.0021929590831920517, 0.9993065]), 'p_i': 73}
